,user_type,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
0,new,54635,130888,42751,7446,32.66,17.42,5.69,75.62,735.57
1,returning,16003,41984,22481,5991,53.55,26.65,14.27,52.63,742.74
