,session_type,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
0,first_session,49269,118198,36757,5882,31.1,16.0,4.98,77.2,750.38
1,repeat_session,21479,55552,28784,7599,51.81,26.4,13.68,55.42,725.41
