,product_category,product_price,total_sessions,product_view_sessions,add_to_cart_sessions,purchase_sessions,view_to_cart_percentage,cart_to_purchase_percentage,view_to_purchase_percentage,avg_view_to_cart_sec,avg_cart_to_purchase_sec
907,Home/Bags/Shopping and Totes/,3500000,138,161,66,0,40.99,0.0,0.0,-29.09,920.78
908,Home/Bags/Shopping and Totes/,3990000,69,83,29,0,34.94,0.0,0.0,23.0,116.0
909,Home/Bags/Shopping and Totes/,4990000,325,380,114,0,30.0,0.0,0.0,115.48,778.58
910,Home/Bags/Shopping and Totes/,7990000,47,55,20,0,36.36,0.0,0.0,-21.0,400.0
911,Home/Bags/Shopping and Totes/,9990000,218,274,51,0,18.61,0.0,0.0,52.3,648.8
912,Home/Bags/Shopping and Totes/,12790000,112,142,50,0,35.21,0.0,0.0,31.53,420.73
913,Home/Bags/Shopping and Totes/,15990000,367,444,118,0,26.58,0.0,0.0,92.32,562.56
914,Home/Bags/Shopping and Totes/,27990000,46,61,10,0,16.39,0.0,0.0,41.5,712.5
915,Home/Bags/Shopping and Totes/,34990000,180,233,30,0,12.88,0.0,0.0,49.23,1199.25
916,Home/Clearance Sale/,1590000,2,2,2,0,100.0,0.0,0.0,-185.5,424.0
917,Home/Clearance Sale/,1990000,8,37,3,0,8.11,0.0,0.0,199.5,
918,Home/Clearance Sale/,2500000,2,7,0,0,0.0,,0.0,,
919,Home/Clearance Sale/,3990000,5,6,6,0,100.0,0.0,0.0,,
920,Home/Clearance Sale/,4790000,3,3,4,0,133.33,0.0,0.0,1.0,132.0
921,Home/Clearance Sale/,4990000,11,12,5,0,41.67,0.0,0.0,172.67,
922,Home/Clearance Sale/,5500000,2,3,0,0,0.0,,0.0,,
923,Home/Clearance Sale/,5990000,6,10,1,0,10.0,0.0,0.0,8.0,2062.0
924,Home/Clearance Sale/,6990000,3,4,1,0,25.0,0.0,0.0,5.0,1459.0
925,Home/Clearance Sale/,7190000,2,2,2,0,100.0,0.0,0.0,2.0,
926,Home/Clearance Sale/,8990000,2,6,2,0,33.33,0.0,0.0,5.0,
927,Home/Clearance Sale/,9590000,3,4,0,0,0.0,,0.0,,
928,Home/Clearance Sale/,9990000,2,4,0,0,0.0,,0.0,,
929,Home/Clearance Sale/,10390000,1,2,0,0,0.0,,0.0,,
930,Home/Clearance Sale/,10990000,5,5,3,0,60.0,0.0,0.0,2.0,351.0
931,Home/Clearance Sale/,11990000,3,3,0,0,0.0,,0.0,,
932,Home/Clearance Sale/,12990000,15,71,3,0,4.23,0.0,0.0,101.67,
933,Home/Clearance Sale/,14390000,1,2,0,0,0.0,,0.0,,
934,Home/Clearance Sale/,15190000,4,4,3,0,75.0,0.0,0.0,6.0,1028.0
935,Home/Clearance Sale/,15990000,1,1,0,0,0.0,,0.0,,
936,Home/Clearance Sale/,16990000,3,4,0,0,0.0,,0.0,164.0,
937,Home/Clearance Sale/,17990000,4,8,1,0,12.5,0.0,0.0,,
938,Home/Clearance Sale/,18990000,9,14,5,0,35.71,0.0,0.0,28.2,207.0
939,Home/Clearance Sale/,19990000,26,63,2,0,3.17,0.0,0.0,34.0,
940,Home/Clearance Sale/,22990000,3,4,1,0,25.0,0.0,0.0,-1049.0,
941,Home/Clearance Sale/,23990000,2,8,0,0,0.0,,0.0,,
942,Home/Clearance Sale/,24990000,8,15,3,0,20.0,0.0,0.0,5.5,
943,Home/Clearance Sale/,28990000,3,26,4,0,15.38,0.0,0.0,-199.0,
944,Home/Clearance Sale/,39990000,4,10,3,0,30.0,0.0,0.0,,
945,Home/Clearance Sale/,44990000,4,7,1,0,14.29,0.0,0.0,,
946,Home/Clearance Sale/,49990000,2,2,0,0,0.0,,0.0,,
947,Home/Clearance Sale/,55990000,1,16,0,0,0.0,,0.0,,
948,Home/Clearance Sale/,59990000,7,46,20,0,43.48,0.0,0.0,457.33,
949,Home/Clearance Sale/,63990000,1,3,1,0,33.33,0.0,0.0,5.0,667.0
950,Home/Clearance Sale/,79990000,1,12,1,0,8.33,0.0,0.0,,
951,Home/Clearance Sale/,87990000,1,1,0,0,0.0,,0.0,,
952,Home/Clearance Sale/,109990000,2,6,2,0,33.33,0.0,0.0,5.0,
953,Home/Clearance Sale/,119990000,1,3,0,0,0.0,,0.0,,
954,Home/Drinkware/,1590000,15,15,12,0,80.0,0.0,0.0,5.14,1211.5
955,Home/Drinkware/,1990000,127,150,42,0,28.0,0.0,0.0,43.33,708.43
956,Home/Drinkware/,2390000,5,5,2,0,40.0,0.0,0.0,,
957,Home/Drinkware/,2400000,2,2,1,0,50.0,0.0,0.0,,
958,Home/Drinkware/,2800000,11,13,5,0,38.46,0.0,0.0,24.0,1099.0
959,Home/Drinkware/,2990000,130,186,52,0,27.96,0.0,0.0,82.21,488.5
960,Home/Drinkware/,3500000,131,151,20,0,13.25,0.0,0.0,-30.0,476.5
961,Home/Drinkware/,3990000,6,6,2,0,33.33,0.0,0.0,4.0,405.0
962,Home/Drinkware/,4990000,126,174,51,0,29.31,0.0,0.0,3.73,1675.0
963,Home/Drinkware/,6390000,2,4,1,0,25.0,0.0,0.0,,
964,Home/Drinkware/,7190000,1,1,1,0,100.0,0.0,0.0,,
965,Home/Drinkware/,7990000,93,118,36,0,30.51,0.0,0.0,70.77,1145.0
966,Home/Drinkware/,8790000,16,18,13,0,72.22,0.0,0.0,-145.67,491.5
967,Home/Drinkware/,8990000,44,56,19,0,33.93,0.0,0.0,-0.5,807.0
968,Home/Drinkware/,9990000,129,167,41,0,24.55,0.0,0.0,46.05,872.5
969,Home/Drinkware/,10390000,28,39,26,0,66.67,0.0,0.0,2.6,1085.5
970,Home/Drinkware/,10990000,146,187,53,0,28.34,0.0,0.0,-84.96,891.33
971,Home/Drinkware/,11190000,2,2,0,0,0.0,,0.0,14.0,
972,Home/Drinkware/,12990000,465,635,167,0,26.3,0.0,0.0,36.56,615.43
973,Home/Drinkware/,13990000,61,92,29,0,31.52,0.0,0.0,23.91,679.5
974,Home/Drinkware/,15190000,22,29,13,0,44.83,0.0,0.0,21.25,
975,Home/Drinkware/,15990000,4,6,1,0,16.67,0.0,0.0,,
976,Home/Drinkware/,18990000,360,500,93,0,18.6,0.0,0.0,97.67,1160.17
977,Home/Drinkware/,19990000,195,274,71,0,25.91,0.0,0.0,148.3,643.0
978,Home/Drinkware/,23990000,1,1,1,0,100.0,0.0,0.0,,
979,Home/Drinkware/,24990000,1100,1681,304,0,18.08,0.0,0.0,48.52,760.86
980,Home/Drinkware/,27190000,5,7,0,0,0.0,,0.0,,
981,Home/Drinkware/,33990000,33,38,6,0,15.79,0.0,0.0,49.0,960.33
982,Home/Drinkware/Mugs and Cups/,7190000,87,107,62,0,57.94,0.0,0.0,121.91,680.67
983,Home/Drinkware/Mugs and Cups/,8990000,567,717,237,0,33.05,0.0,0.0,49.52,1038.12
984,Home/Drinkware/Mugs and Cups/,10390000,197,256,136,0,53.13,0.0,0.0,-26.06,580.13
985,Home/Drinkware/Mugs and Cups/,12990000,1438,1974,606,0,30.7,0.0,0.0,28.88,829.0
986,Home/Drinkware/Water Bottles and Tumblers/,2390000,37,44,27,0,61.36,0.0,0.0,150.73,714.67
987,Home/Drinkware/Water Bottles and Tumblers/,2400000,54,68,58,0,85.29,0.0,0.0,-51.87,644.0
988,Home/Drinkware/Water Bottles and Tumblers/,2990000,414,557,316,0,56.73,0.0,0.0,6.74,767.96
989,Home/Drinkware/Water Bottles and Tumblers/,3990000,27,33,17,0,51.52,0.0,0.0,120.5,
990,Home/Drinkware/Water Bottles and Tumblers/,4990000,151,195,61,0,31.28,0.0,0.0,100.14,447.5
991,Home/Drinkware/Water Bottles and Tumblers/,6390000,14,18,14,0,77.78,0.0,0.0,-29.75,598.5
992,Home/Drinkware/Water Bottles and Tumblers/,7990000,117,156,43,0,27.56,0.0,0.0,34.46,779.17
993,Home/Drinkware/Water Bottles and Tumblers/,8790000,39,41,21,0,51.22,0.0,0.0,-33.0,457.0
994,Home/Drinkware/Water Bottles and Tumblers/,9990000,156,210,33,0,15.71,0.0,0.0,221.72,385.33
995,Home/Drinkware/Water Bottles and Tumblers/,10390000,20,23,4,0,17.39,0.0,0.0,17.67,132.0
996,Home/Drinkware/Water Bottles and Tumblers/,10990000,173,196,67,0,34.18,0.0,0.0,56.07,791.38
997,Home/Drinkware/Water Bottles and Tumblers/,11190000,55,92,43,0,46.74,0.0,0.0,41.15,333.5
998,Home/Drinkware/Water Bottles and Tumblers/,12990000,83,115,22,0,19.13,0.0,0.0,24.18,
999,Home/Drinkware/Water Bottles and Tumblers/,13990000,201,264,86,0,32.58,0.0,0.0,32.97,632.73
1000,Home/Drinkware/Water Bottles and Tumblers/,15190000,117,146,73,0,50.0,0.0,0.0,58.4,922.18
1001,Home/Drinkware/Water Bottles and Tumblers/,15990000,29,41,12,0,29.27,0.0,0.0,55.0,180.5
1002,Home/Drinkware/Water Bottles and Tumblers/,17590000,13,19,3,0,15.79,0.0,0.0,5.0,300.0
1003,Home/Drinkware/Water Bottles and Tumblers/,18990000,460,649,186,0,28.66,0.0,0.0,55.54,786.39
1004,Home/Drinkware/Water Bottles and Tumblers/,19190000,3,4,3,0,75.0,0.0,0.0,10.0,
1005,Home/Drinkware/Water Bottles and Tumblers/,19990000,461,650,241,0,37.08,0.0,0.0,58.86,647.44
1006,Home/Drinkware/Water Bottles and Tumblers/,21990000,47,56,11,0,19.64,0.0,0.0,58.6,442.0
1007,Home/Drinkware/Water Bottles and Tumblers/,23990000,7,8,0,0,0.0,,0.0,,
